Sydney,-33.823076,151.196769
Shanghai,31.205002,121.59095
Bangalore,12.966629,77.629952
Tokyo,35.658797,139.699894
Seoul,37.489291,127.053213
Kuala Lumpur,3.14643,101.617913
Manila,14.656904,121.056251
Ho Chi Minh City,10.784086,106.703612
Prague,50.028748,14.493542
Copenhagen,55.800396,12.523867
La Gaude,43.731806,7.167839
Paris,48.841475,2.546748
Ehningen,48.654114,8.945449
Budapest,47.470027,19.058372
Dublin,53.421662,-6.419186
Tel Aviv,32.101308,34.850006
Milan,45.465289,9.280593
Casablanca,33.529308,-7.638465
Amsterdam,52.340918,4.829757
Warsaw,52.191496,20.98276
Bucharest,44.482193,26.074473
Moscow,55.746496,37.537816
Bratislava,48.145014,17.138672
Ljubljana,46.067298,14.541467
Johannesburg,-26.114083,28.052033
Barcelona,41.389632,2.133708
Stockholm,59.404016,17.948482
Zurich,47.393124,8.486391
Istanbul,41.089011,29.006283
Kiev,50.422334,30.505922
Hursley,51.026597,-1.39784
South Bank,51.507454,-0.112669
Sao Paulo,-23.579967,-46.649269
Mexico City,19.372227,-99.261174
Toronto,43.817871,-79.332204
Austin,30.402655,-97.715217
Chicago,41.881004,-87.636766
Dallas,32.942584,-96.993519
Silicon Valley,37.559471,-122.271931
Cambridge,42.3657744,-71.0769577
Nairobi,-1.289323,36.790726
Bangkok,13.781116,100.545601
Lagos,6.436851,3.423357
